key,value
fullName,Min Wu
currentTitle,"Postdoctoral Research Fellow, School of Civil and Environmental Engineering, Nanyang Technological University"
institution,Nanyang Technological University
location,Singapore
shortBio,"I am a postdoctoral research fellow at Nanyang Technological University. My research focuses on artificial intelligence in maritime human-machine interaction, shipping and maritime systems, collective intelligence collaboration, and system resilience modelling."
researchFocus1,"My research investigates maritime AI socialisation, autonomous-driving trust and anthropomorphic design, Bayesian-network and system-dynamics modelling of ship and port systems, green shipping policy, and VR-enabled marine conservation."
researchFocus2,"My future work focuses on human-swarm teaming in high-risk maritime environments, cognitive load management, interface transparency, and multi-agent collaboration mechanisms for intelligent maritime systems."
avatarFile,avatar.png
siteInitials,MW
publicationSummary,"Selected publications spanning maritime AI, transport resilience, green shipping policy, autonomous-vehicle trust, and human-machine interaction."
awardsSummary,"Selected academic honors, scholarships, and recognitions."
